Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1777019490,50,,Aggregated,18.600000,11.500000,2,2,2,3,4,7,26,35,91,160,160,1185,701,2,3.0233905257712186,0.4879579646512866,159.8753749858588,58.129113924050635
1777019491,50,,Aggregated,18.100000,10.800000,1,2,2,3,4,7,26,31,91,160,160,1203,712,1,2.996126959543189,0.4879579646512866,159.8753749858588,58.03990024937656
1777019492,50,,Aggregated,18.100000,10.700000,1,2,2,3,4,7,26,31,91,160,160,1225,729,1,2.96536733092246,0.4879579646512866,159.8753749858588,57.901224489795915
1777019493,50,,Aggregated,18.300000,11.300000,1,2,2,3,4,7,26,31,91,160,160,1241,736,1,2.9430140858053813,0.4879579646512866,159.8753749858588,57.95648670427075
1777019494,50,,Aggregated,18.800000,11.600000,1,2,2,3,4,7,19,31,91,160,160,1267,751,1,2.9215668095643292,0.4879579646512866,159.8753749858588,58.01341752170482
1777019495,50,,Aggregated,18.600000,11.400000,1,2,2,3,4,6,19,31,91,160,160,1287,760,1,2.8937319831824238,0.4879579646512866,159.8753749858588,58.13364413364413
1777019496,50,,Aggregated,19.200000,11.600000,1,2,2,3,4,7,19,31,91,160,160,1300,763,1,2.8832171625421883,0.4879579646512866,159.8753749858588,58.29769230769231
1777019497,50,,Aggregated,18.800000,11.100000,1,2,2,3,4,6,18,31,91,160,160,1317,773,1,2.860704172510815,0.4879579646512866,159.8753749858588,58.289293849658314
1777019498,50,,Aggregated,18.300000,10.200000,1,2,2,3,4,6,18,31,91,160,160,1333,782,1,2.842939406824113,0.4879579646512866,159.8753749858588,58.27906976744186
1777019499,50,,Aggregated,18.600000,10.100000,1,2,2,2,4,6,17,31,91,160,160,1351,796,1,2.822477405830159,0.4879579646512866,159.8753749858588,58.25166543301258
1777019500,50,,Aggregated,18.000000,9.900000,1,2,2,2,4,6,17,31,91,160,160,1371,807,1,2.8033183619616393,0.4879579646512866,159.8753749858588,58.28081692195478
1777019501,50,,Aggregated,18.400000,10.400000,1,2,2,2,4,6,17,31,91,160,160,1389,819,1,2.7836132232237896,0.4879579646512866,159.8753749858588,58.23542116630669
1777019502,50,,Aggregated,18.900000,11.000000,1,2,2,2,4,6,17,30,91,160,160,1410,834,1,2.774826608720427,0.4879579646512866,159.8753749858588,58.12482269503546
1777019503,50,,Aggregated,18.200000,10.400000,1,2,2,2,4,6,17,30,91,160,160,1421,840,1,2.762882870652783,0.4879579646512866,159.8753749858588,58.149190710767066
1777019504,50,,Aggregated,18.500000,10.600000,1,2,2,2,4,6,17,30,91,160,160,1448,856,1,2.746002602365861,0.4879579646512866,159.8753749858588,58.056629834254146
1777019505,50,,Aggregated,17.900000,10.200000,1,2,2,2,4,6,16,30,91,160,160,1460,862,1,2.7385152534307426,0.4879579646512866,159.8753749858588,58.07397260273972
1777019506,50,,Aggregated,17.700000,10.100000,1,2,2,2,4,6,16,30,91,160,160,1478,872,1,2.721938979071571,0.4879579646512866,159.8753749858588,58.15426251691475
